total_bill,tip,sex,smoker,day,time,size,tips_label
12.69,2.0,Male,No,Sat,Dinner,2,0
15.98,3.0,Female,No,Fri,Lunch,3,1
24.59,3.61,Female,No,Sun,Dinner,4,1
14.26,2.5,Male,No,Thur,Lunch,2,0
15.06,3.0,Female,No,Sat,Dinner,2,1
17.47,3.5,Female,No,Thur,Lunch,2,1
7.25,5.15,Male,Yes,Sun,Dinner,2,1
16.0,2.0,Male,Yes,Thur,Lunch,2,0
11.02,1.98,Male,Yes,Sat,Dinner,2,0
8.51,1.25,Female,No,Thur,Lunch,2,0
11.38,2.0,Female,No,Thur,Lunch,2,0
12.16,2.2,Male,Yes,Fri,Lunch,2,0
23.17,6.5,Male,Yes,Sun,Dinner,4,1
12.02,1.97,Male,No,Sat,Dinner,2,0
20.9,3.5,Female,Yes,Sun,Dinner,3,1
17.59,2.64,Male,No,Sat,Dinner,3,0
30.4,5.6,Male,No,Sun,Dinner,4,1
48.17,5.0,Male,No,Sun,Dinner,6,1
16.04,2.24,Male,No,Sat,Dinner,3,0
15.95,2.0,Male,No,Thur,Lunch,2,0
39.42,7.58,Male,No,Sat,Dinner,4,1
23.33,5.65,Male,Yes,Sun,Dinner,2,1
14.48,2.0,Male,Yes,Sun,Dinner,2,0
16.66,3.4,Male,No,Thur,Lunch,2,1
31.27,5.0,Male,No,Sat,Dinner,3,1
48.33,9.0,Male,No,Sat,Dinner,4,1
32.4,6.0,Male,No,Sun,Dinner,4,1
22.75,3.25,Female,No,Fri,Dinner,2,1
40.55,3.0,Male,Yes,Sun,Dinner,2,1
9.68,1.32,Male,No,Sun,Dinner,2,0
8.35,1.5,Female,No,Thur,Lunch,2,0
24.52,3.48,Male,No,Sun,Dinner,3,1
23.68,3.31,Male,No,Sun,Dinner,2,1
15.36,1.64,Male,Yes,Sat,Dinner,2,0
9.94,1.56,Male,No,Sun,Dinner,2,0
12.26,2.0,Female,No,Thur,Lunch,2,0
13.42,3.48,Female,Yes,Fri,Lunch,2,1
16.47,3.23,Female,Yes,Thur,Lunch,3,1
10.09,2.0,Female,Yes,Fri,Lunch,2,0
18.04,3.0,Male,No,Sun,Dinner,2,1
13.81,2.0,Male,No,Sun,Dinner,2,0
19.44,3.0,Male,Yes,Thur,Lunch,2,1
17.78,3.27,Male,No,Sat,Dinner,2,1
18.71,4.0,Male,Yes,Thur,Lunch,3,1
26.88,3.12,Male,No,Sun,Dinner,4,1
15.81,3.16,Male,Yes,Sat,Dinner,2,1
14.0,3.0,Male,No,Sat,Dinner,2,1
22.49,3.5,Male,No,Fri,Dinner,2,1
32.68,5.0,Male,Yes,Thur,Lunch,2,1
11.59,1.5,Male,Yes,Sat,Dinner,2,0
8.58,1.92,Male,Yes,Fri,Lunch,1,0
21.16,3.0,Male,No,Thur,Lunch,2,1
15.04,1.96,Male,No,Sun,Dinner,2,0
18.43,3.0,Male,No,Sun,Dinner,4,1
48.27,6.73,Male,No,Sat,Dinner,4,1
12.76,2.23,Female,Yes,Sat,Dinner,2,0
20.27,2.83,Female,No,Thur,Lunch,2,0
16.29,3.71,Male,No,Sun,Dinner,3,1
20.76,2.24,Male,No,Sun,Dinner,2,0
26.86,3.14,Female,Yes,Sat,Dinner,2,1
28.17,6.5,Female,Yes,Sat,Dinner,3,1
18.26,3.25,Female,No,Thur,Lunch,2,1
13.0,2.0,Female,Yes,Thur,Lunch,2,0
13.42,1.58,Male,Yes,Fri,Lunch,2,0
18.29,3.76,Male,Yes,Sat,Dinner,4,1
25.56,4.34,Male,No,Sun,Dinner,4,1
25.21,4.29,Male,Yes,Sat,Dinner,2,1
12.54,2.5,Male,No,Sun,Dinner,2,0
12.74,2.01,Female,Yes,Thur,Lunch,2,0
16.82,4.0,Male,Yes,Sun,Dinner,2,1
24.01,2.0,Male,Yes,Sat,Dinner,4,0
23.1,4.0,Male,Yes,Sun,Dinner,3,1
27.18,2.0,Female,Yes,Sat,Dinner,2,0
11.61,3.39,Male,No,Sat,Dinner,2,1
10.63,2.0,Female,Yes,Sat,Dinner,2,0
11.24,1.76,Male,Yes,Sat,Dinner,2,0
28.55,2.05,Male,No,Sun,Dinner,3,0
24.71,5.85,Male,No,Thur,Lunch,2,1
20.29,2.75,Female,No,Sat,Dinner,2,0
26.41,1.5,Female,No,Sat,Dinner,2,0
20.53,4.0,Male,Yes,Thur,Lunch,4,1
21.5,3.5,Male,No,Sun,Dinner,4,1
12.6,1.0,Male,Yes,Sat,Dinner,2,0
30.46,2.0,Male,Yes,Sun,Dinner,5,0
19.81,4.19,Female,Yes,Thur,Lunch,2,1
22.82,2.18,Male,No,Thur,Lunch,3,0
16.93,3.07,Female,No,Sat,Dinner,3,1
25.0,3.75,Female,No,Sun,Dinner,4,1
22.12,2.88,Female,Yes,Sat,Dinner,2,0
10.34,1.66,Male,No,Sun,Dinner,3,0
34.81,5.2,Female,No,Sun,Dinner,4,1
7.51,2.0,Male,No,Thur,Lunch,2,0
19.08,1.5,Male,No,Thur,Lunch,2,0
13.13,2.0,Male,No,Sun,Dinner,2,0
22.42,3.48,Female,Yes,Sat,Dinner,2,1
12.46,1.5,Male,No,Fri,Dinner,2,0
29.93,5.07,Male,No,Sun,Dinner,4,1
18.28,4.0,Male,No,Thur,Lunch,2,1
16.4,2.5,Female,Yes,Thur,Lunch,2,0
14.73,2.2,Female,No,Sat,Dinner,2,0
12.9,1.1,Female,Yes,Sat,Dinner,2,0
25.89,5.16,Male,Yes,Sat,Dinner,4,1
13.42,1.68,Female,No,Thur,Lunch,2,0
18.78,3.0,Female,No,Thur,Dinner,2,1
17.92,4.08,Male,No,Sat,Dinner,2,1
18.15,3.5,Female,Yes,Sun,Dinner,3,1
17.07,3.0,Female,No,Sat,Dinner,3,1
20.49,4.06,Male,Yes,Sat,Dinner,2,1
14.83,3.02,Female,No,Sun,Dinner,2,1
5.75,1.0,Female,Yes,Fri,Dinner,2,0
34.63,3.55,Male,Yes,Sun,Dinner,2,1
44.3,2.5,Female,Yes,Sat,Dinner,3,0
